"","Semester","Section","hrs.sleep.weekly","cups.caffeine.weekly","hrs.exercise.weekly","hrs.work.weekly","hrs.screentime.weekly","meals.eaten.weekly","dependents","hrs.study.weekly","no.courses.taken"
"1",201910,"S10",45,6,3,21,20,,,,
"2",201910,"S10",49,10,0,15,14,,,,
"3",201910,"S10",46,14,2.5,15,30,,,,
"4",201910,"S10",48,5,2,22,35,,,,
"5",201910,"S10",49,1,3,10,25,,,,
"6",201910,"S10",42,0,15,32,30,,,,
"7",201910,"S10",50,2,4,12,12,,,,
"8",201910,"S10",42,6,4,6.5,14,,,,
"9",201910,"S10",20,2,4,24,98,,,,
"10",201910,"S10",50,8,0,40,55,,,,
"11",201910,"S10",49,2,2,12,25,,,,
"12",201910,"S10",56,10,10,16,30,,,,
"13",201910,"S10",49,6,3,24,14,,,,
"14",201910,"S10",40,6,21,4,21,,,,
"15",201910,"S10",56,14,4,39,20,,,,
"16",201910,"S10",42,0,10.5,20,10.5,,,,
"17",201910,"S10",45,28,5,20,20,,,,
"18",201910,"S10",49,7,0,40,28,,,,
"19",201910,"S10",50,21,10,25,30,,,,
"20",201910,"S10",56,21,10,15,14,,,,
"21",201910,"S10",46,16,3,16,20,,,,
"22",201910,"S10",56,2,10,24,14,,,,
"23",201910,"S10",35,8,10,27,12,,,,
"24",201910,"S10",38,4,6,35,25,,,,
"25",201910,"S10",56,6,7,28,30,,,,
"26",201910,"S10",56,0,4,17,42,,,,
"27",201910,"S10",53,9,3,27,38,,,,
"28",201910,"S10",40,4,10,25,30,,,,
"29",201910,"S10",42,5,3,24,35,,,,
"30",201910,"S10",50,2,5,25,25,,,,
"31",201920,"S10",42,6,0,0,40,,,,
"32",201920,"S10",42,0,0,20,50,,,,
"33",201920,"S10",47,3,0,18,50,,,,
"34",201920,"S10",43,3,0,20,55,,,,
"35",201920,"S10",49,7,14,30,35,,,,
"36",201920,"S10",42,0,7.5,36,42,,,,
"37",201920,"S10",56,1,0,0,40,,,,
"38",201920,"S10",50,10,4,25,20,,,,
"39",201920,"S10",45.5,7,30,40,40,,,,
"40",201920,"S10",49,7,30,25,40,,,,
"41",201920,"S10",40,15,0,20,28,,,,
"42",201920,"S10",45.5,0,12,28,28,,,,
"43",201920,"S10",35,0,15,0,48,,,,
"44",201920,"S10",50,0,4,25,20,,,,
"45",201920,"S10",49,0,3,45,28,,,,
"46",201920,"S10",42,7,5,10,30,,,,
"47",201920,"S10",42,3,5,20,32,,,,
"48",201920,"S10",59,1,0,15,89,,,,
"49",201920,"S10",42,21,7,0,28,,,,
"50",201920,"S10",50,15,5,30,30,,,,
"51",201920,"S10",38,7,0,16,40,,,,
"52",201920,"S10",45,3,7,15,50,,,,
"53",201920,"S10",42,0,5,21,42,,,,
"54",201920,"S10",54,3,12,40,25,,,,
"55",201920,"S10",45,42,0,5.5,84,,,,
"56",202310,"S10",42,7,6,40,28,,,,
"57",202310,"S10",49,0,6,8,35,,,,
"58",202310,"S10",46,5,10,20,45,,,,
"59",202310,"S10",28,10,12,32,6,,,,
"60",202310,"S10",42,14,14,20,30,,,,
"61",202310,"S10",42,0,3.5,25,40,,,,
"62",202310,"S10",41,4,8,21,42,,,,
"63",202310,"S10",48,2,10,15,30,,,,
"64",202310,"S10",48,3,10,20,15,,,,
"65",202310,"S10",49,7,3,15,30,,,,
"66",202310,"S10",56,6,12,32,21,,,,
"67",202310,"S10",35,3,3,25,25,,,,
"68",202320,"S10",56,2,0,16,42,,,,
"69",202320,"S10",56,2,8,0,10,,,,
"70",202320,"S10",77,0,0,0,28,,,,
"71",202320,"S50",35,1,0,0,70,,,,
"72",202320,"S10",75,14,8,3,21,,,,
"73",202320,"S50",56,5,3,26,70,,,,
"74",202320,"S10",49,14,10,40,20,,,,
"75",202320,"S50",60,9,6,30,24,,,,
"76",202320,"S50",56,7,4,0,77,,,,
"77",202320,"S50",40,15,5,30,30,,,,
"78",202320,"S50",49,3,5,12,20,,,,
"79",202320,"S50",49,3,5,32,35,,,,
"80",202320,"S50",42,15,4,0,70,,,,
"81",202320,"S50",65,0,12,20,30,,,,
"82",202320,"S50",50,5,7,30,25,,,,
"83",202320,"S50",42,14,3,20,17,,,,
"84",202320,"S10",49,0,3,40,6,,,,
"85",202320,"S50",35,5,5,0,40,,,,
"86",202320,"S50",56,0,0,0,20,,,,
"87",202320,"S10",36,7,1,0,56,,,,
"88",202320,"S50",56,8,5,48,21,,,,
"89",202320,"S10",45,3,3.5,8,37,,,,
"90",202320,"S10",42,4,12,12,28,,,,
"91",202320,"S50",45,0,3,10,11,,,,
"92",202320,"S50",45,6,10,32,25,,,,
"93",202320,"S50",56,14,6,40,18,,,,
"94",202320,"S50",44,7,5,24,30,,,,
"95",202320,"S10",59,21,2,22,60,,,,
"96",202320,"S50",42,0,0,35,28,,,,
"97",202320,"S50",42,0,0,35,28,,,,
"98",202320,"S10",56,7,2,28,13,,,,
"99",202320,"S10",35,15,45,40,10,,,,
"100",202320,"S50",49,0,3,15,35,,,,
"101",202320,"S50",56,7,2,40,24,,,,
"102",202320,"S50",45,0,14,56,29,,,,
"103",202320,"S50",56,7,6,36,15,,,,
"104",202320,"S50",54,9,5,40,20,,,,
"105",202320,"S50",49,8,1,39,15,,,,
"106",202320,"S50",42,0,0,35,25,,,,
"107",202320,"S50",42,0,0,35,28,,,,
"108",202320,"S10",48,3,5,5,50,,,,
"109",202320,"S10",11,2,0,14,7,,,,
"110",202320,"S10",60,0,3,20,40,,,,
"111",202320,"S10",49,14,3,15,40,,,,
"112",202320,"S10",6,3,0,29,30,,,,
"113",202320,"S10",56,0,6,15,25,,,,
"114",202320,"S10",8,7,6,0,22,,,,
"115",202320,"S10",6,3,1,3,6,,,,
"116",202320,"S50",42,7,3.5,0,56,,,,
"117",202320,"S10",42,7,7,33,13,,,,
"118",202320,"S10",56,0,2,0,28,,,,
"119",202320,"S10",50,3,5,17,6,,,,
"120",202320,"S10",54,7,5,32,4,,,,
"121",202320,"S10",56,2,1,25,21,,,,
"122",202320,"S10",42,1,7,24,50,,,,
"123",202410,"A10",54,5,9,27,21,0,7,3,
"124",202410,"A10",56,21,7,0,50,21,1,24,5
"125",202410,"A10",50,12,4,40,27,14,0,18,2
"126",202410,"A10",56,7,9,20,5,21,4,40,4
"127",202410,"A10",42,2,14,20,20,14,0,15,4
"128",202410,"A10",48,10,15,40,19,0,30,5,
"129",202410,"A10",40,5,10,30,42,14,0,20,3
"130",202410,"A10",56,4,2,12,50,18,4,20,3
"131",202410,"A10",63,21,4,0,21,14,2,10,3
"132",202410,"A10",70,0,4,21,30,21,8,21,4
"133",202410,"A10",49,7,4,10,42,21,0,10,4
"134",202410,"A10",35,14,0,0,126,21,0,10,3
"135",202410,"A10",42,7,14,6,28,30,4,14,4
"136",202410,"A10",56,21,7,10,10,16,2,23,3
"137",202410,"A10",42,7,28,60,14,0,1,10,2
"138",202410,"A10",56,1,5,18,30,21,0,10,3
"139",202410,"A10",39,14,12,16,48,14,0,28,5
"140",202410,"A10",42,7,7,30,20,21,0,10,4
"141",202410,"A10",30,0,0,15,30,0,40,5,
"142",202410,"A10",42,5,5,0,14,14,1,42,5
